date,Event Name,Meeting Place,Person,Source PDF
2022-08-06,,,,AG Taylor Calendar - August 2022.pdf
2022-08-07,,,,AG Taylor Calendar - August 2022.pdf
2022-08-08,,,,AG Taylor Calendar - August 2022.pdf
2022-08-13,,,,AG Taylor Calendar - August 2022.pdf
2022-08-14,,,,AG Taylor Calendar - August 2022.pdf
2022-09-03,,,,AG Taylor Calendar - September 2022.pdf
2022-09-04,,,,AG Taylor Calendar - September 2022.pdf
2022-09-17,,,,AG Taylor Calendar - September 2022.pdf
2022-09-18,,,,AG Taylor Calendar - September 2022.pdf
2022-09-24,,,,AG Taylor Calendar - September 2022.pdf
2022-09-25,,,,AG Taylor Calendar - September 2022.pdf
2022-10-01,,,,AG Taylor Calendar - October 2022.pdf
2022-10-02,,,,AG Taylor Calendar - October 2022.pdf
2022-10-07,,,,AG Taylor Calendar - October 2022.pdf
2022-10-08,,,,AG Taylor Calendar - October 2022.pdf
2022-10-09,,,,AG Taylor Calendar - October 2022.pdf
2022-10-15,,,,AG Taylor Calendar - October 2022.pdf
2022-10-16,,,,AG Taylor Calendar - October 2022.pdf
2022-10-19,,,,AG Taylor Calendar - October 2022.pdf
2022-10-22,,,,AG Taylor Calendar - October 2022.pdf
2022-10-23,,,,AG Taylor Calendar - October 2022.pdf
2022-10-29,,,,AG Taylor Calendar - October 2022.pdf
2022-10-30,,,,AG Taylor Calendar - October 2022.pdf
2022-11-05,,,,AG Taylor Calendar - November 2022.pdf
2022-11-06,,,,AG Taylor Calendar - November 2022.pdf
2022-11-19,,,,AG Taylor Calendar - November 2022.pdf
2022-11-20,,,,AG Taylor Calendar - November 2022.pdf
2022-11-26,,,,AG Taylor Calendar - November 2022.pdf
2022-11-27,,,,AG Taylor Calendar - November 2022.pdf
2022-12-01,Meeting AG Taylor/Mike Baylous/Brewster Jamieson/Cori Mills re Litigation,"ANC AG's; Office, Brady Bldg, 6th Fl/Microsoft Teams Meeting","Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-01,Meet & Greet AG Taylor/Cameron King/Andrew Trejo,ANC 6th Fl Conf Room,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-01,4:30-5:00 PM: MTG: AG,ANC-WEST Cabinet Rm.,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-01,Statehood Defense Meeting,Microsoft Teams Meeting,"Mulligan, Benjamin J (DFG)",AG Taylor Calendar - December 2022.pdf
2022-12-02,Meeting re ESG,"ANC Atwood 15th; Fl, Insurance Conf Room/Microsoft Teams Meeting","Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-02,"MTG: Comm Crum, AG Taylor","Gallagher, Tyson C (GOV)",,AG Taylor Calendar - December 2022.pdf
2022-12-02,"MTG: AG, Craig Campbell",ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-02,"MTG: AG, Cori Mills, Acting Comm. Teshner",ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-03,,,,AG Taylor Calendar - December 2022.pdf
2022-12-04,,,,AG Taylor Calendar - December 2022.pdf
2022-12-05,Governor/Lt. Governor Swearing In Ceremony,ANC,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-06,Meeting AG Taylor/Ron Opsahl/Julie Pack re Navigability Designations & Wetlands,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-06,Weekly Check-In,"Microsoft Teams Meeting; Blanc, Amber (GOV)",Le,AG Taylor Calendar - December 2022.pdf
2022-12-06,Meeting AG Taylor/Sean Lynch,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-07,ESG Multistate Call,AGOZoom32; Conf-Rm-Palm-Conference-#313,"Hentges, Irma",AG Taylor Calendar - December 2022.pdf
2022-12-08,Intermediate Research on Westlaw Edge,Microsoft Teams Meeting,"Dorsey, Jonathan (Legal)",AG Taylor Calendar - December 2022.pdf
2022-12-08,photo op,,,AG Taylor Calendar - December 2022.pdf
2022-12-08,Statehood Defense Meeting,Microsoft Teams Meeting,"Mulligan, Benjamin J (DFG)",AG Taylor Calendar - December 2022.pdf
2022-12-08,Meeting AG Taylor/Randy Ruaro,ANC AG's Office,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-09,photo op,,,AG Taylor Calendar - December 2022.pdf
2022-12-09,404 / Nav Waters Mtg.,1400 &; Microsoft Teams Meeting,"Gialopsos, Vasilios (DNR)",AG Taylor Calendar - December 2022.pdf
2022-12-09,1:30 PM:,,,AG Taylor Calendar - December 2022.pdf
2022-12-09,"PH: AG Taylor, Comm Vincent-Lang, Thor Stacey, Jim Lister, Staff",BOI,"Gallagher, Tyson C (GOV)",AG Taylor Calendar - December 2022.pdf
2022-12-09,Meeting AG Taylor/Amber LeBlanc/Cori Mills./John Skidmore re Budget,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-09,End of pay period - submit leave slips or NLT ASAP,,"West, Kelly M (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-10,,,,AG Taylor Calendar - December 2022.pdf
2022-12-11,,,,AG Taylor Calendar - December 2022.pdf
2022-12-12,"MTG: AG, Cori Mills",JNU,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-12,Juneau To Dec 15,,,AG Taylor Calendar - December 2022.pdf
2022-12-12,"MTG: AG, Cori Mills",JNU,,AG Taylor Calendar - December 2022.pdf
2022-12-12,"Dunleavy, Governor (GOV sponsored)",,,AG Taylor Calendar - December 2022.pdf
2022-12-12,Meeting AG Taylor/Cori Mills/Mags Paton Walsh AC/AWP Litigation related,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-12,Meeting AG Taylor/Max Garner/Justin Jetter/Cori Mills AC/AWP Litigation related,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-13,Holiday Pictionary,Microsoft Teams Meeting,"Carter, Richard J (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-13,From Dec 12 Juneau To Dec 15,,,AG Taylor Calendar - December 2022.pdf
2022-12-13,Call,,,AG Taylor Calendar - December 2022.pdf
2022-12-13,Supervisory Meeting (monthly),Microsoft Teams Meeting,"West, Kelly M (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-13,December ULC Meeting,Microsoft Teams Meeting,"Polizzotto, Rebecca C (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-13,Meeting AG Taylor/Mags Paton-Walsh/Jeff Pickett AC/AWP Litigation related,Microsoft Teams Meeting,"Dizon, Ninia R (LAW); Open House",AG Taylor Calendar - December 2022.pdf
2022-12-14,GOV Dinner,,,AG Taylor Calendar - December 2022.pdf
2022-12-14,Federal Law Enforcement Agency Chiefs' Meeting,Anchorage US Attorney's Office Conference Room; 333 Willoughby Ave. Juneau AK 99801 (SOB 10th Floor) & TEAMs Video,"Dizon, Ninia R (LAW); Cyber Security Update; Vrana, Paula R (DOA)",AG Taylor Calendar - December 2022.pdf
2022-12-14,Commissioners Conversation on the Cloud,333 Willoughby Ave. Juneau AK 99801 (SOB 10th Floor) & TEAMs Video,"Vrana, Paula R (DOA)",AG Taylor Calendar - December 2022.pdf
2022-12-14,MTG: Cabinet,JNU,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-14,From Dec 12 Juneau To Dec 15,,,AG Taylor Calendar - December 2022.pdf
2022-12-15,Agency Attorney 101: Client Relations and Building Client Trust,Microsoft Teams Meeting,"Leeah, Jessica L (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-15,From Dec 12 Juneau,,,AG Taylor Calendar - December 2022.pdf
2022-12-15,*12:30-12:50 PM: MTG: Staff,JNU-Governor's Office,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-15,TENTATIVE: Statehood Defense Meeting,Microsoft Teams Meeting,"Mulligan, Benjamin J (DFG)",AG Taylor Calendar - December 2022.pdf
2022-12-15,Executive Team Meeting,TEAMS,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-15,Meet & Greet AG Taylor/Orion Hughes-Knowles,JNU AG's Office 4th Floor,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-16,Meeting AG Taylor/Comm. Crum/Marcus Frampton/Cori Mills/Deven Mitchell/Chris Poag/Sebastian Vadakumcherry re Opinion,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-16,Monthly Check In AG Taylor/Kate Sheehan,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-16,Native Law 101,Microsoft Teams,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-17,,,,AG Taylor Calendar - December 2022.pdf
2022-12-18,,,,AG Taylor Calendar - December 2022.pdf
2022-12-19,Meeting AG Taylor/Carla Erickson/Alex Hildebrand/Stacie Kraly/Cori Mills re DOJ Update,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-19,Press Briefing: Alaska Opioid Settlements and Opioid Crisis Update,BOI,"Carter, Richard J (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-19,Meeting AG Taylor/Cori Mills/John Skidmore/Patty Sullivan re Initiatives List,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-19,Meeting AG Taylor/Amber LeBlanc/Cori Mills/John Skidmore re Legislative Session,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-20,Law/OMB,BOI,"Steininger, Neil A (GOV)",AG Taylor Calendar - December 2022.pdf
2022-12-20,State of Alaska Consultation with EPA on CWA Section 404(c) Recommended Determination for the Pebble Deposit,"1201 Constituion Ave NW, Washington DC 20001 3233 WJCE. Seccurity will contact Laura Shumway to escort",Owscheduling,AG Taylor Calendar - December 2022.pdf
2022-12-20,Call with Rep. Carpenter,AG to call BOI,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-20,Meeting with Angela Harris,6th Fl Conf Rm,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-21,Prep Meeting AG Taylor/Mike Anderson/John Skidmore,BOI (AG will chair),"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-21,Meeting re Lands Into Trust,Zoom,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-21,Meeting with Ms. Moore,6th Fl Conf Room,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-21,Holiday Bingo,Microsoft Teams Meeting,"Carter, Richard J (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-21,Meeting AG Taylor/Jessie Alloway/Tom Flynn/Laura Fox/Lael Harrison/Stacie Kraly/Cori Mills re Appeal Planning,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-21,Prep Meeting AG Taylor/Jenna Gruenstein/Angie Kemp/Cori Mills/John Skidmore re GJ,ANC 6th Fl/Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-21,Meeting AG Taylor/Stacie Kraly/Amber LeBlanc/Cori Mills re Personnel Matter,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-22,Meeting AG Taylor/Angie Kemp/John Skidmore re Personnel Matter,Microsoft Teams Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-22,Meeting re Resource Development,Zoom,"Dizon, Ninia R (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-23,End of pay period - submit leave slips or NLT ASAP,,"West, Kelly M (LAW)",AG Taylor Calendar - December 2022.pdf
2022-12-24,,,,AG Taylor Calendar - December 2022.pdf
2022-12-25,,,,AG Taylor Calendar - December 2022.pdf
2022-12-26,Christmas Day Holiday Observed,,,AG Taylor Calendar - December 2022.pdf
2022-12-27,"PH: Interview: Laura Hartz, ANC Superior Court",,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-27,"PH: Interview: Kate Demarest, ANC Superior Court",,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-27,"PH: Interview: Kari McCrea, ANC Superior Court",,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-27,"PH: Interview: David Nesbett, ANC Superior Court",,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-27,"PH: Interview: Christina Rankin, ANC Superior Court PH: Interview: Danee Pontious, ANC Superior Court",,"Dunleavy, Governor (GOV sponsored); Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-28,"PH: AG, John Skidmore",BOI,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - December 2022.pdf
2022-12-28,*2:30-3:30 PM:,,,AG Taylor Calendar - December 2022.pdf
2022-12-29,", Meeting re Lands Into Trust Canceled: Statehood Defense Meeting",Microsoft Teams Meeting Microsoft Teams Meeting,"Dizon, Ninia R (LAW) Mulligan, Benjamin J (DFG)",AG Taylor Calendar - December 2022.pdf
2022-12-30,Personal Appt.,,,AG Taylor Calendar - December 2022.pdf
2022-12-30,AGA Moderator Invitation Deadline,,,AG Taylor Calendar - December 2022.pdf
2022-12-31,,,,AG Taylor Calendar - December 2022.pdf
2023-01-01,,,,AG Taylor Calendar - January 2023.pdf
2023-01-02,Day Holiday Observed I,,,AG Taylor Calendar - January 2023.pdf
2023-01-03,...,,,AG Taylor Calendar - January 2023.pdf
2023-01-03,1,,,AG Taylor Calendar - January 2023.pdf
2023-01-03,I,,,AG Taylor Calendar - January 2023.pdf
2023-01-03,"AG Taylor, Staff",,"agher, Tyson C (GOV)",AG Taylor Calendar - January 2023.pdf
2023-01-04,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-05,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-06,Meeting re Lands Into Trust,"~ :; .; J:ccess Codei!:!Q!)(AG will chair); , N1ma Kl W)",,AG Taylor Calendar - January 2023.pdf
2023-01-06,of pay period -submit leave slips or NLT ASAP ~,,"est, Kelly M (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-07,,,,AG Taylor Calendar - January 2023.pdf
2023-01-08,,,,AG Taylor Calendar - January 2023.pdf
2023-01-09,Microsoft T earns Meeting,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-09,Lunch,,,AG Taylor Calendar - January 2023.pdf
2023-01-09,"Mtg: Treg Taylor, Cori Mills, Stacie Kraly, John Skidmore, Angie Kemp re Initiatives",,,AG Taylor Calendar - January 2023.pdf
2023-01-09,Microsoft T earns Meeting,,"Wilson, Terrie A (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-09,"Meeting AG Taylor/Jessie Alloway/Cori Mills/Anne Nelson/0,ris Orman re LIT",,,AG Taylor Calendar - January 2023.pdf
2023-01-09,Microsoft T earns Meeting,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-09,Meeting AG Taylor/Angie Kemp/Stacie Kraly/Cori Mills/John Skidmore re GJ,,,AG Taylor Calendar - January 2023.pdf
2023-01-10,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-11,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-12,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-13,I,,,AG Taylor Calendar - January 2023.pdf
2023-01-13,Meeting AG Taylor/Cori Mills/John Skidmore re Election Matters,JNU AG's Office,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-13,:ng AG Taylor/Tom Flynn/Rachel Witty Re Litigation,osoft T earns Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-13,GOV Legislative Reception,"2nd; Floor, Gym Teny Miller Legislative Office Building. 5th & Main",,AG Taylor Calendar - January 2023.pdf
2023-01-14,rsonal Apptf I,,,AG Taylor Calendar - January 2023.pdf
2023-01-15,,,,AG Taylor Calendar - January 2023.pdf
2023-01-17,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-18,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-19,Juneau I,,,AG Taylor Calendar - January 2023.pdf
2023-01-19,Microsoft T earns Meeting,,"Brune, Jason W (DEQ",AG Taylor Calendar - January 2023.pdf
2023-01-19,Statehood Defense,,,AG Taylor Calendar - January 2023.pdf
2023-01-20,Microsoft T earns Meeting,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-20,Weekly Legislative Check In,,,AG Taylor Calendar - January 2023.pdf
2023-01-20,of pay period -submit leave slips or NLT ASAP ~,,"est, Kelly M (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-21,,,,AG Taylor Calendar - January 2023.pdf
2023-01-22,,,,AG Taylor Calendar - January 2023.pdf
2023-01-23,-,,,AG Taylor Calendar - January 2023.pdf
2023-01-23,Juneau To Jan 26,,,AG Taylor Calendar - January 2023.pdf
2023-01-23,➔,,,AG Taylor Calendar - January 2023.pdf
2023-01-23,AG Taylor/Jessie Alloway/Ned Brasington/Stacie Kraly/Cori Mills re Amicus,osoft T earns Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-23,WOTUS discussion,,"Mills, Cori M (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-23,...,,,AG Taylor Calendar - January 2023.pdf
2023-01-23,-8:00pm GOA State of the State Address(Capitol),,,AG Taylor Calendar - January 2023.pdf
2023-01-24,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-25,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-26,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-01-27,Write Notes,,,AG Taylor Calendar - January 2023.pdf
2023-01-27,Weekly Legislative Check In,,,AG Taylor Calendar - January 2023.pdf
2023-01-27,Microsoft T earns Meeting,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-28,,,,AG Taylor Calendar - January 2023.pdf
2023-01-29,,,,AG Taylor Calendar - January 2023.pdf
2023-01-30,-,,,AG Taylor Calendar - January 2023.pdf
2023-01-30,Juneau To Feb 2 ➔,,,AG Taylor Calendar - January 2023.pdf
2023-01-30,press strategy,,"Mills, Cori M (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-30,& Greet with Rep. Ashley Carrick,ol Room 428,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-30,Meet & Greet with Rep. Maxine Dibert,Capital Room 424,"Dizon, Ninia R (LAW)",AG Taylor Calendar - January 2023.pdf
2023-01-31,15 16 17 18 19 20 21 12 13 14 15 16 17 18,22 23 24 25 26 27 28 19 20 21 22 23 24 25; 29 30 31 26 27 28,,AG Taylor Calendar - January 2023.pdf
2023-02-01,ESG Multistate Call,AGOZoom32; Conf-Rm-Palm-Conference-#313,"Hentges, Irma",AG Taylor Calendar - February 2023.pdf
2023-02-01,Juneau To Feb 2 ➔,,,AG Taylor Calendar - February 2023.pdf
2023-02-01,-,,,AG Taylor Calendar - February 2023.pdf
2023-02-02,Juneau I,,,AG Taylor Calendar - February 2023.pdf
2023-02-02,"Meeting AG Taylor/Jessie Alloway/0,eryt Brooking/Cori Mills/Anne Nelson/Comm. Vincent -Lang re Appeal",,,AG Taylor Calendar - February 2023.pdf
2023-02-02,Microsoft T earns Meeting,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-02,tol Room 119,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-02,Economic Development Sub-cabinet Meeting,,,AG Taylor Calendar - February 2023.pdf
2023-02-02,Microsoft T earns Meeting,,"Sande, Julie A (Cl:D)",AG Taylor Calendar - February 2023.pdf
2023-02-03,Weekly Legislative Check In,,,AG Taylor Calendar - February 2023.pdf
2023-02-03,Microsoft T earns Meeting,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-03,=,,,AG Taylor Calendar - February 2023.pdf
2023-02-03,of pay period -submit leave slips or NLT ASAP ~,,"est, Kelly M (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-03,Meet & Greet AG Taylor/Sara Brennan/Lisa Nelson/Justin Tapp,ANC 6th Floor Conference Room,"Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-04,,,,AG Taylor Calendar - February 2023.pdf
2023-02-05,,,,AG Taylor Calendar - February 2023.pdf
2023-02-06,"AG Taylor to,8O1 I (First Asst Ray Wagne~s Phonek Dizon, Ninia R (LA\',/)",Meet & Greet with Rep. Jennifer Armstrong; Capital Room 422,,AG Taylor Calendar - February 2023.pdf
2023-02-06,ANCtoJNU,,,AG Taylor Calendar - February 2023.pdf
2023-02-06,10:45AM Call with Jordan Wolman I,,,AG Taylor Calendar - February 2023.pdf
2023-02-06,Jordan to Call 907-269-6611,"Dizon, Ninia R (LA\',/) I Meeting AG Taylor/Jessie Alloway/Cheryl Brooking/Stacie Kraly/Cori Mills/Anne",,AG Taylor Calendar - February 2023.pdf
2023-02-06,Nelson/Chris Orman/Aaron Peterson/Comm. Vincent-Lang/Laura Wolff re Litigation,,Matters,AG Taylor Calendar - February 2023.pdf
2023-02-06,➔,,,AG Taylor Calendar - February 2023.pdf
2023-02-06,I Microsoft T earns Meeting,,"Dizon, Ninia R (LA\',/)",AG Taylor Calendar - February 2023.pdf
2023-02-06,ting AG Taylor/Max Garner/Justin Jetter re Airport,osoft T earns Meeting,"Dizon, Ninia R (LA\',/)",AG Taylor Calendar - February 2023.pdf
2023-02-06,Introductory Meeting with Missouri AG Andrew Bailey,,,AG Taylor Calendar - February 2023.pdf
2023-02-06,Meeting with Rep. Mike Cronk,"Capitol, Room 418","Dizon, Ninia R (LA\',/)",AG Taylor Calendar - February 2023.pdf
2023-02-06,-,,,AG Taylor Calendar - February 2023.pdf
2023-02-06,Juneau Tofeb9,,,AG Taylor Calendar - February 2023.pdf
2023-02-07,Meeting AG Taylor/Cori Mills/Ron Opsahl/Julie Pack re 404(c),,,AG Taylor Calendar - February 2023.pdf
2023-02-07,with Sen. Cathy Giessel,rtol Room 427,"Dizon, Ninia R (LA\',/)",AG Taylor Calendar - February 2023.pdf
2023-02-07,*8:30 AM: AK Time 111 :30 AM: Central Time:,,,AG Taylor Calendar - February 2023.pdf
2023-02-07,"PH: Comm. Boyle, AG",I:,"Dunleavy, Governor (GOV sponsored)",AG Taylor Calendar - February 2023.pdf
2023-02-07,Meeting AG Taylor/Wendy Horton/Stacie Kraly/Bill Milks/Cori Mills re GC,,,AG Taylor Calendar - February 2023.pdf
2023-02-07,Microsoft T earns Meeting,,"Dizon, Ninia R (LA\',/)",AG Taylor Calendar - February 2023.pdf
2023-02-07,-,,,AG Taylor Calendar - February 2023.pdf
2023-02-07,Microsoft T earns Meeting,,"Dizon, Ninia R (LA\',/)",AG Taylor Calendar - February 2023.pdf
2023-02-07,➔,,,AG Taylor Calendar - February 2023.pdf
2023-02-07,Juneau ToFeb9,,,AG Taylor Calendar - February 2023.pdf
2023-02-08,Federal Law Enforcement Agency Chiefs' Meeting ~ ing AG Taylor/Comm. Boyle re Settlement,Anchorage US Attorney's Office Conference Room osoft T earns Meeting,"Dizon, Ninia R (LAW); Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-08,➔,,,AG Taylor Calendar - February 2023.pdf
2023-02-08,Juneau ToFeb9,,,AG Taylor Calendar - February 2023.pdf
2023-02-08,-,,,AG Taylor Calendar - February 2023.pdf
2023-02-09,Microsoft T earns Meeting TBD,,"Sande, Julie A (Cl:D) Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-09,Economic Development Sub-cabinet Meeting Canceled: HOLD: HFIN Subcommittee HUM,,,AG Taylor Calendar - February 2023.pdf
2023-02-09,Juneau I,,,AG Taylor Calendar - February 2023.pdf
2023-02-10,Microsoft T earns Meeting,,"Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-10,Weekly Legislative Check In,,,AG Taylor Calendar - February 2023.pdf
2023-02-11,-,,,AG Taylor Calendar - February 2023.pdf
2023-02-11,Travel Status ToFeb15 ➔,,,AG Taylor Calendar - February 2023.pdf
2023-02-14,-,,,AG Taylor Calendar - February 2023.pdf
2023-02-14,Travel Status To Feb 15,,,AG Taylor Calendar - February 2023.pdf
2023-02-14,➔,,,AG Taylor Calendar - February 2023.pdf
2023-02-14,Supervisory Meeting (monthly),,,AG Taylor Calendar - February 2023.pdf
2023-02-14,Microsoft T earns Meeting,,West Kelly M (LAW),AG Taylor Calendar - February 2023.pdf
2023-02-15,MDT II/State AG Call,Zoom,"Mosteller, Daniel",AG Taylor Calendar - February 2023.pdf
2023-02-15,Travel Status I,,,AG Taylor Calendar - February 2023.pdf
2023-02-16,Executive T earn Meeting,TEAMS,"Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-17,of pay period -submit leave slips or NLT ASAP ~,,"est, Kelly M (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-17,=,,,AG Taylor Calendar - February 2023.pdf
2023-02-17,ting AG Taylor/Comm. Brune re Personnel Matter,osoft T earns Meeting,"Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-17,AMHTA I,,,AG Taylor Calendar - February 2023.pdf
2023-02-17,Microsoft T earns Meeting,,"Taylor, T reg R (LAW) I Weekly Legislative Check In",AG Taylor Calendar - February 2023.pdf
2023-02-17,Microsoft T earns Meeting,I,"Dizon, Ninia R (LAW)",AG Taylor Calendar - February 2023.pdf
2023-02-18,,,,AG Taylor Calendar - February 2023.pdf
2023-02-19,,,,AG Taylor Calendar - February 2023.pdf
